/home/zht/anaconda3/envs/py38torch19/lib/python3.8/site-packages/torch/optim/lr_scheduler.py:129: UserWarning: Detected call of `lr_scheduler.step()` before `optimizer.step()`. In PyTorch 1.1.0 and later, you should call them in the opposite order: `optimizer.step()` before `lr_scheduler.step()`.  Failure to do this will result in PyTorch skipping the first value of the learning rate schedule. See more details at https://pytorch.org/docs/stable/optim.html#how-to-adjust-learning-rate
Epoch (1), Batch(200/1368), loss: 1.329327, imid loss: 0.269157, imid1 loss: 0.220003, cmid loss: 0.840167
Epoch (1), Batch(400/1368), loss: 1.299831, imid loss: 0.264686, imid1 loss: 0.218535, cmid loss: 0.816610
Epoch (1), Batch(600/1368), loss: 1.270311, imid loss: 0.259368, imid1 loss: 0.216580, cmid loss: 0.794363
Epoch (1), Batch(800/1368), loss: 1.242787, imid loss: 0.252797, imid1 loss: 0.215755, cmid loss: 0.774235
Epoch (1), Batch(1000/1368), loss: 1.214861, imid loss: 0.248062, imid1 loss: 0.212678, cmid loss: 0.754121
Epoch (1), Batch(1200/1368), loss: 1.189661, imid loss: 0.244057, imid1 loss: 0.209722, cmid loss: 0.735883
Train 1, loss: 1.170139
Linear Accuracy : 0.8962722852512156
==> Saving Best Model...
Start training epoch: (2/100)
Epoch (2), Batch(0/1368), loss: 1.127082, imid loss: 0.288054, imid1 loss: 0.228639, cmid loss: 0.610389
Epoch (2), Batch(200/1368), loss: 0.990375, imid loss: 0.211186, imid1 loss: 0.183645, cmid loss: 0.595544
Epoch (2), Batch(400/1368), loss: 0.983863, imid loss: 0.211375, imid1 loss: 0.190220, cmid loss: 0.582268
Epoch (2), Batch(600/1368), loss: 0.964881, imid loss: 0.210493, imid1 loss: 0.184101, cmid loss: 0.570287
Epoch (2), Batch(800/1368), loss: 0.951201, imid loss: 0.208943, imid1 loss: 0.183317, cmid loss: 0.558940
Epoch (2), Batch(1000/1368), loss: 0.937551, imid loss: 0.206421, imid1 loss: 0.182760, cmid loss: 0.548371
Epoch (2), Batch(1200/1368), loss: 0.923895, imid loss: 0.204224, imid1 loss: 0.181198, cmid loss: 0.538473
Train 2, loss: 0.914750
Linear Accuracy : 0.8999189627228525
==> Saving Best Model...
Start training epoch: (3/100)
Epoch (3), Batch(0/1368), loss: 0.787294, imid loss: 0.197057, imid1 loss: 0.134662, cmid loss: 0.455574
Epoch (3), Batch(200/1368), loss: 0.814374, imid loss: 0.188195, imid1 loss: 0.168953, cmid loss: 0.457227
Epoch (3), Batch(400/1368), loss: 0.806525, imid loss: 0.187973, imid1 loss: 0.167885, cmid loss: 0.450667
Epoch (3), Batch(600/1368), loss: 0.798982, imid loss: 0.185324, imid1 loss: 0.169873, cmid loss: 0.443784
Epoch (3), Batch(800/1368), loss: 0.790409, imid loss: 0.182556, imid1 loss: 0.170765, cmid loss: 0.437087
Epoch (3), Batch(1000/1368), loss: 0.780446, imid loss: 0.179903, imid1 loss: 0.169952, cmid loss: 0.430590
Epoch (3), Batch(1200/1368), loss: 0.772183, imid loss: 0.178202, imid1 loss: 0.169591, cmid loss: 0.424391
Train 3, loss: 0.766112
Linear Accuracy : 0.896677471636953
Start training epoch: (4/100)
Epoch (4), Batch(0/1368), loss: 0.851568, imid loss: 0.180465, imid1 loss: 0.297820, cmid loss: 0.373283
Epoch (4), Batch(200/1368), loss: 0.692100, imid loss: 0.165729, imid1 loss: 0.155358, cmid loss: 0.371013
Epoch (4), Batch(400/1368), loss: 0.684357, imid loss: 0.167507, imid1 loss: 0.151758, cmid loss: 0.365092
Epoch (4), Batch(600/1368), loss: 0.679961, imid loss: 0.165574, imid1 loss: 0.154004, cmid loss: 0.360383
Epoch (4), Batch(800/1368), loss: 0.673757, imid loss: 0.163625, imid1 loss: 0.153947, cmid loss: 0.356185
Epoch (4), Batch(1000/1368), loss: 0.668060, imid loss: 0.164609, imid1 loss: 0.151573, cmid loss: 0.351878
Epoch (4), Batch(1200/1368), loss: 0.665036, imid loss: 0.164281, imid1 loss: 0.152632, cmid loss: 0.348123
Train 4, loss: 0.660137
Linear Accuracy : 0.8922204213938412
Start training epoch: (5/100)
Epoch (5), Batch(0/1368), loss: 0.941788, imid loss: 0.313605, imid1 loss: 0.322401, cmid loss: 0.305782
Epoch (5), Batch(200/1368), loss: 0.627861, imid loss: 0.159109, imid1 loss: 0.154942, cmid loss: 0.313810
Epoch (5), Batch(400/1368), loss: 0.621592, imid loss: 0.159743, imid1 loss: 0.151675, cmid loss: 0.310174
Epoch (5), Batch(600/1368), loss: 0.615121, imid loss: 0.159874, imid1 loss: 0.148692, cmid loss: 0.306555
Epoch (5), Batch(800/1368), loss: 0.610590, imid loss: 0.159895, imid1 loss: 0.147934, cmid loss: 0.302762
Epoch (5), Batch(1000/1368), loss: 0.604724, imid loss: 0.158738, imid1 loss: 0.146341, cmid loss: 0.299645
Epoch (5), Batch(1200/1368), loss: 0.602247, imid loss: 0.157690, imid1 loss: 0.147799, cmid loss: 0.296759
Train 5, loss: 0.598341
Linear Accuracy : 0.8962722852512156
==> Saving...
Start training epoch: (6/100)
Epoch (6), Batch(0/1368), loss: 0.545244, imid loss: 0.151093, imid1 loss: 0.120813, cmid loss: 0.273338
Epoch (6), Batch(200/1368), loss: 0.552358, imid loss: 0.148542, imid1 loss: 0.132795, cmid loss: 0.271020
Epoch (6), Batch(400/1368), loss: 0.555117, imid loss: 0.149652, imid1 loss: 0.137469, cmid loss: 0.267995
Epoch (6), Batch(600/1368), loss: 0.554958, imid loss: 0.150239, imid1 loss: 0.139677, cmid loss: 0.265041
Epoch (6), Batch(800/1368), loss: 0.551047, imid loss: 0.148970, imid1 loss: 0.139548, cmid loss: 0.262528
Epoch (6), Batch(1000/1368), loss: 0.546113, imid loss: 0.147858, imid1 loss: 0.138254, cmid loss: 0.260001
Epoch (6), Batch(1200/1368), loss: 0.542035, imid loss: 0.147399, imid1 loss: 0.137121, cmid loss: 0.257515
Train 6, loss: 0.541664
Linear Accuracy : 0.8987034035656402
Start training epoch: (7/100)
Epoch (7), Batch(0/1368), loss: 0.650124, imid loss: 0.181543, imid1 loss: 0.230824, cmid loss: 0.237757
Epoch (7), Batch(200/1368), loss: 0.503796, imid loss: 0.139198, imid1 loss: 0.125958, cmid loss: 0.238640
Epoch (7), Batch(400/1368), loss: 0.515239, imid loss: 0.142604, imid1 loss: 0.135947, cmid loss: 0.236688
Epoch (7), Batch(600/1368), loss: 0.512285, imid loss: 0.140412, imid1 loss: 0.136550, cmid loss: 0.235324
Epoch (7), Batch(800/1368), loss: 0.510525, imid loss: 0.142092, imid1 loss: 0.135075, cmid loss: 0.233358
Epoch (7), Batch(1000/1368), loss: 0.506330, imid loss: 0.140693, imid1 loss: 0.134347, cmid loss: 0.231290
Epoch (7), Batch(1200/1368), loss: 0.503571, imid loss: 0.140458, imid1 loss: 0.133736, cmid loss: 0.229377
Train 7, loss: 0.501291
Linear Accuracy : 0.896677471636953
Start training epoch: (8/100)
Epoch (8), Batch(0/1368), loss: 0.471327, imid loss: 0.124809, imid1 loss: 0.120258, cmid loss: 0.226260
Epoch (8), Batch(200/1368), loss: 0.482033, imid loss: 0.136577, imid1 loss: 0.131911, cmid loss: 0.213545
Epoch (8), Batch(400/1368), loss: 0.488574, imid loss: 0.138682, imid1 loss: 0.137430, cmid loss: 0.212461
Epoch (8), Batch(600/1368), loss: 0.489614, imid loss: 0.138351, imid1 loss: 0.139040, cmid loss: 0.212223
Epoch (8), Batch(800/1368), loss: 0.488541, imid loss: 0.139659, imid1 loss: 0.137963, cmid loss: 0.210919
Epoch (8), Batch(1000/1368), loss: 0.485391, imid loss: 0.138990, imid1 loss: 0.136665, cmid loss: 0.209736
Epoch (8), Batch(1200/1368), loss: 0.480654, imid loss: 0.137905, imid1 loss: 0.134375, cmid loss: 0.208374
Train 8, loss: 0.479228
Linear Accuracy : 0.8991085899513777
Start training epoch: (9/100)
Epoch (9), Batch(0/1368), loss: 0.446042, imid loss: 0.106593, imid1 loss: 0.139924, cmid loss: 0.199525
Epoch (9), Batch(200/1368), loss: 0.451049, imid loss: 0.134256, imid1 loss: 0.123273, cmid loss: 0.193520
Epoch (9), Batch(400/1368), loss: 0.449990, imid loss: 0.131561, imid1 loss: 0.125727, cmid loss: 0.192702
Epoch (9), Batch(600/1368), loss: 0.448127, imid loss: 0.132686, imid1 loss: 0.124231, cmid loss: 0.191210
Epoch (9), Batch(800/1368), loss: 0.445678, imid loss: 0.130987, imid1 loss: 0.124541, cmid loss: 0.190150
Epoch (9), Batch(1000/1368), loss: 0.443361, imid loss: 0.130393, imid1 loss: 0.124261, cmid loss: 0.188707
Epoch (9), Batch(1200/1368), loss: 0.442517, imid loss: 0.130066, imid1 loss: 0.124745, cmid loss: 0.187707
Train 9, loss: 0.442262
Linear Accuracy : 0.8991085899513777
Start training epoch: (10/100)
Epoch (10), Batch(0/1368), loss: 0.317950, imid loss: 0.070656, imid1 loss: 0.074182, cmid loss: 0.173113
Epoch (10), Batch(200/1368), loss: 0.417178, imid loss: 0.126126, imid1 loss: 0.113538, cmid loss: 0.177514
Epoch (10), Batch(400/1368), loss: 0.428367, imid loss: 0.127011, imid1 loss: 0.124850, cmid loss: 0.176507
Epoch (10), Batch(600/1368), loss: 0.429095, imid loss: 0.127743, imid1 loss: 0.125158, cmid loss: 0.176194
Epoch (10), Batch(800/1368), loss: 0.427825, imid loss: 0.127960, imid1 loss: 0.124513, cmid loss: 0.175352
Epoch (10), Batch(1000/1368), loss: 0.424379, imid loss: 0.126999, imid1 loss: 0.123312, cmid loss: 0.174069
Epoch (10), Batch(1200/1368), loss: 0.423352, imid loss: 0.127369, imid1 loss: 0.123109, cmid loss: 0.172874
Train 10, loss: 0.420875
Linear Accuracy : 0.903160453808752
==> Saving Best Model...
==> Saving...
Start training epoch: (11/100)
Epoch (11), Batch(0/1368), loss: 0.369646, imid loss: 0.058652, imid1 loss: 0.144134, cmid loss: 0.166861
Epoch (11), Batch(200/1368), loss: 0.416882, imid loss: 0.115389, imid1 loss: 0.136195, cmid loss: 0.165298
Epoch (11), Batch(400/1368), loss: 0.418141, imid loss: 0.120432, imid1 loss: 0.132182, cmid loss: 0.165526
Epoch (11), Batch(600/1368), loss: 0.410952, imid loss: 0.119426, imid1 loss: 0.126961, cmid loss: 0.164565
Epoch (11), Batch(800/1368), loss: 0.408380, imid loss: 0.120347, imid1 loss: 0.124791, cmid loss: 0.163243
Epoch (11), Batch(1000/1368), loss: 0.405743, imid loss: 0.120894, imid1 loss: 0.122612, cmid loss: 0.162238
Epoch (11), Batch(1200/1368), loss: 0.404155, imid loss: 0.121267, imid1 loss: 0.121663, cmid loss: 0.161226
Train 11, loss: 0.401833
Linear Accuracy : 0.896677471636953
Start training epoch: (12/100)
Epoch (12), Batch(0/1368), loss: 0.580145, imid loss: 0.332748, imid1 loss: 0.095784, cmid loss: 0.151613
Epoch (12), Batch(200/1368), loss: 0.395894, imid loss: 0.126355, imid1 loss: 0.116021, cmid loss: 0.153518
Epoch (12), Batch(400/1368), loss: 0.398460, imid loss: 0.123106, imid1 loss: 0.121577, cmid loss: 0.153777
Epoch (12), Batch(600/1368), loss: 0.396733, imid loss: 0.122111, imid1 loss: 0.121466, cmid loss: 0.153155
Epoch (12), Batch(800/1368), loss: 0.393390, imid loss: 0.121090, imid1 loss: 0.120146, cmid loss: 0.152153
Epoch (12), Batch(1000/1368), loss: 0.390818, imid loss: 0.119884, imid1 loss: 0.119252, cmid loss: 0.151683
Epoch (12), Batch(1200/1368), loss: 0.389950, imid loss: 0.120180, imid1 loss: 0.118974, cmid loss: 0.150796
Train 12, loss: 0.391395
Linear Accuracy : 0.8946515397082658
Start training epoch: (13/100)
Epoch (13), Batch(0/1368), loss: 0.544760, imid loss: 0.129347, imid1 loss: 0.271488, cmid loss: 0.143925
Epoch (13), Batch(200/1368), loss: 0.374754, imid loss: 0.119977, imid1 loss: 0.107937, cmid loss: 0.146840
Epoch (13), Batch(400/1368), loss: 0.374031, imid loss: 0.119197, imid1 loss: 0.110233, cmid loss: 0.144601
Epoch (13), Batch(600/1368), loss: 0.369037, imid loss: 0.116827, imid1 loss: 0.109116, cmid loss: 0.143093
Epoch (13), Batch(800/1368), loss: 0.368571, imid loss: 0.116149, imid1 loss: 0.110256, cmid loss: 0.142166
Epoch (13), Batch(1000/1368), loss: 0.368633, imid loss: 0.116323, imid1 loss: 0.110464, cmid loss: 0.141846
Epoch (13), Batch(1200/1368), loss: 0.369352, imid loss: 0.116313, imid1 loss: 0.111886, cmid loss: 0.141154
Train 13, loss: 0.368731
Linear Accuracy : 0.8999189627228525
Start training epoch: (14/100)
Epoch (14), Batch(0/1368), loss: 0.360806, imid loss: 0.167703, imid1 loss: 0.060232, cmid loss: 0.132871
Epoch (14), Batch(200/1368), loss: 0.368215, imid loss: 0.124400, imid1 loss: 0.108460, cmid loss: 0.135355
Epoch (14), Batch(400/1368), loss: 0.359865, imid loss: 0.117903, imid1 loss: 0.107976, cmid loss: 0.133986
Epoch (14), Batch(600/1368), loss: 0.357564, imid loss: 0.114728, imid1 loss: 0.109665, cmid loss: 0.133171
Epoch (14), Batch(800/1368), loss: 0.357896, imid loss: 0.114422, imid1 loss: 0.111009, cmid loss: 0.132466
Epoch (14), Batch(1000/1368), loss: 0.362455, imid loss: 0.116385, imid1 loss: 0.113719, cmid loss: 0.132350
Epoch (14), Batch(1200/1368), loss: 0.360917, imid loss: 0.116082, imid1 loss: 0.112565, cmid loss: 0.132270
Train 14, loss: 0.359000
Linear Accuracy : 0.8954619124797407
Start training epoch: (15/100)
Epoch (15), Batch(0/1368), loss: 0.329453, imid loss: 0.078399, imid1 loss: 0.120731, cmid loss: 0.130322
Epoch (15), Batch(200/1368), loss: 0.347808, imid loss: 0.115013, imid1 loss: 0.104593, cmid loss: 0.128202
Epoch (15), Batch(400/1368), loss: 0.352691, imid loss: 0.115429, imid1 loss: 0.108637, cmid loss: 0.128624
Epoch (15), Batch(600/1368), loss: 0.352351, imid loss: 0.114494, imid1 loss: 0.109702, cmid loss: 0.128156
Epoch (15), Batch(800/1368), loss: 0.354333, imid loss: 0.113040, imid1 loss: 0.113256, cmid loss: 0.128037
Epoch (15), Batch(1000/1368), loss: 0.350847, imid loss: 0.111947, imid1 loss: 0.111592, cmid loss: 0.127308
Epoch (15), Batch(1200/1368), loss: 0.346962, imid loss: 0.110035, imid1 loss: 0.110360, cmid loss: 0.126567
Train 15, loss: 0.345791
Linear Accuracy : 0.8978930307941653
==> Saving...
Start training epoch: (16/100)
Epoch (16), Batch(0/1368), loss: 0.283675, imid loss: 0.106017, imid1 loss: 0.057513, cmid loss: 0.120145
Epoch (16), Batch(200/1368), loss: 0.326719, imid loss: 0.108730, imid1 loss: 0.097271, cmid loss: 0.120718
Epoch (16), Batch(400/1368), loss: 0.329042, imid loss: 0.106593, imid1 loss: 0.102335, cmid loss: 0.120114
Epoch (16), Batch(600/1368), loss: 0.327434, imid loss: 0.108117, imid1 loss: 0.100119, cmid loss: 0.119199
Epoch (16), Batch(800/1368), loss: 0.328199, imid loss: 0.107898, imid1 loss: 0.101449, cmid loss: 0.118853
Epoch (16), Batch(1000/1368), loss: 0.327219, imid loss: 0.107248, imid1 loss: 0.101538, cmid loss: 0.118434
Epoch (16), Batch(1200/1368), loss: 0.327985, imid loss: 0.107029, imid1 loss: 0.102698, cmid loss: 0.118258
Train 16, loss: 0.329738
Linear Accuracy : 0.8942463533225283
Start training epoch: (17/100)
Epoch (17), Batch(0/1368), loss: 0.426601, imid loss: 0.166380, imid1 loss: 0.135799, cmid loss: 0.124422
Epoch (17), Batch(200/1368), loss: 0.322008, imid loss: 0.104166, imid1 loss: 0.101998, cmid loss: 0.115844
Epoch (17), Batch(400/1368), loss: 0.323291, imid loss: 0.101945, imid1 loss: 0.106093, cmid loss: 0.115253
Epoch (17), Batch(600/1368), loss: 0.325317, imid loss: 0.106465, imid1 loss: 0.104248, cmid loss: 0.114604
Epoch (17), Batch(800/1368), loss: 0.325966, imid loss: 0.107522, imid1 loss: 0.104035, cmid loss: 0.114409
Epoch (17), Batch(1000/1368), loss: 0.325887, imid loss: 0.105737, imid1 loss: 0.105929, cmid loss: 0.114221
Epoch (17), Batch(1200/1368), loss: 0.326182, imid loss: 0.106998, imid1 loss: 0.105417, cmid loss: 0.113767
Train 17, loss: 0.326306
Linear Accuracy : 0.8987034035656402
Start training epoch: (18/100)
Epoch (18), Batch(0/1368), loss: 0.479872, imid loss: 0.201726, imid1 loss: 0.173720, cmid loss: 0.104425
Epoch (18), Batch(200/1368), loss: 0.317059, imid loss: 0.106064, imid1 loss: 0.100331, cmid loss: 0.110664
Epoch (18), Batch(400/1368), loss: 0.317966, imid loss: 0.107507, imid1 loss: 0.100424, cmid loss: 0.110035
Epoch (18), Batch(600/1368), loss: 0.316952, imid loss: 0.107187, imid1 loss: 0.099816, cmid loss: 0.109949
Epoch (18), Batch(800/1368), loss: 0.318053, imid loss: 0.107117, imid1 loss: 0.101152, cmid loss: 0.109784
Epoch (18), Batch(1000/1368), loss: 0.316709, imid loss: 0.106483, imid1 loss: 0.100382, cmid loss: 0.109845
Epoch (18), Batch(1200/1368), loss: 0.316451, imid loss: 0.106287, imid1 loss: 0.100447, cmid loss: 0.109717
Train 18, loss: 0.316153
Linear Accuracy : 0.8914100486223663
Start training epoch: (19/100)
Epoch (19), Batch(0/1368), loss: 0.457834, imid loss: 0.153728, imid1 loss: 0.203639, cmid loss: 0.100467
Epoch (19), Batch(200/1368), loss: 0.316638, imid loss: 0.107402, imid1 loss: 0.103298, cmid loss: 0.105937
Epoch (19), Batch(400/1368), loss: 0.312251, imid loss: 0.105246, imid1 loss: 0.101067, cmid loss: 0.105937
Epoch (19), Batch(600/1368), loss: 0.308948, imid loss: 0.103862, imid1 loss: 0.099263, cmid loss: 0.105823
Epoch (19), Batch(800/1368), loss: 0.309045, imid loss: 0.104230, imid1 loss: 0.099335, cmid loss: 0.105480
Epoch (19), Batch(1000/1368), loss: 0.308011, imid loss: 0.104904, imid1 loss: 0.097927, cmid loss: 0.105180
Epoch (19), Batch(1200/1368), loss: 0.308609, imid loss: 0.104010, imid1 loss: 0.099406, cmid loss: 0.105194
Train 19, loss: 0.308953
Linear Accuracy : 0.8954619124797407
Start training epoch: (20/100)
Epoch (20), Batch(0/1368), loss: 0.320677, imid loss: 0.085784, imid1 loss: 0.131759, cmid loss: 0.103134
Epoch (20), Batch(200/1368), loss: 0.306528, imid loss: 0.102466, imid1 loss: 0.102290, cmid loss: 0.101772
Epoch (20), Batch(400/1368), loss: 0.308479, imid loss: 0.100615, imid1 loss: 0.106021, cmid loss: 0.101843
Epoch (20), Batch(600/1368), loss: 0.308356, imid loss: 0.102166, imid1 loss: 0.104529, cmid loss: 0.101661
Epoch (20), Batch(800/1368), loss: 0.306320, imid loss: 0.102047, imid1 loss: 0.102926, cmid loss: 0.101348
Epoch (20), Batch(1000/1368), loss: 0.305754, imid loss: 0.103260, imid1 loss: 0.101632, cmid loss: 0.100862
Epoch (20), Batch(1200/1368), loss: 0.305594, imid loss: 0.104149, imid1 loss: 0.100999, cmid loss: 0.100445
Train 20, loss: 0.306637
Linear Accuracy : 0.8974878444084279
==> Saving...
Start training epoch: (21/100)
Epoch (21), Batch(0/1368), loss: 0.252809, imid loss: 0.071458, imid1 loss: 0.085189, cmid loss: 0.096163
Epoch (21), Batch(200/1368), loss: 0.286687, imid loss: 0.095797, imid1 loss: 0.090922, cmid loss: 0.099967
Epoch (21), Batch(400/1368), loss: 0.288689, imid loss: 0.098668, imid1 loss: 0.091359, cmid loss: 0.098662
Epoch (21), Batch(600/1368), loss: 0.295224, imid loss: 0.099683, imid1 loss: 0.097228, cmid loss: 0.098313
Epoch (21), Batch(800/1368), loss: 0.295992, imid loss: 0.100166, imid1 loss: 0.097823, cmid loss: 0.098003
Epoch (21), Batch(1000/1368), loss: 0.293710, imid loss: 0.099750, imid1 loss: 0.096577, cmid loss: 0.097384
Epoch (21), Batch(1200/1368), loss: 0.292757, imid loss: 0.099201, imid1 loss: 0.096742, cmid loss: 0.096814
Train 21, loss: 0.293015
Linear Accuracy : 0.8954619124797407
Start training epoch: (22/100)
Epoch (22), Batch(0/1368), loss: 0.227045, imid loss: 0.061184, imid1 loss: 0.070039, cmid loss: 0.095821
Epoch (22), Batch(200/1368), loss: 0.270570, imid loss: 0.091950, imid1 loss: 0.086026, cmid loss: 0.092594
Epoch (22), Batch(400/1368), loss: 0.277408, imid loss: 0.096162, imid1 loss: 0.088735, cmid loss: 0.092510
Epoch (22), Batch(600/1368), loss: 0.280442, imid loss: 0.096513, imid1 loss: 0.091406, cmid loss: 0.092523
Epoch (22), Batch(800/1368), loss: 0.283891, imid loss: 0.097887, imid1 loss: 0.093264, cmid loss: 0.092741
Epoch (22), Batch(1000/1368), loss: 0.288616, imid loss: 0.098985, imid1 loss: 0.096291, cmid loss: 0.093339
Epoch (22), Batch(1200/1368), loss: 0.289936, imid loss: 0.098995, imid1 loss: 0.097310, cmid loss: 0.093631
Train 22, loss: 0.291844
Linear Accuracy : 0.8999189627228525
Start training epoch: (23/100)
Epoch (23), Batch(0/1368), loss: 0.244510, imid loss: 0.093376, imid1 loss: 0.061076, cmid loss: 0.090058
Epoch (23), Batch(200/1368), loss: 0.270768, imid loss: 0.093815, imid1 loss: 0.086201, cmid loss: 0.090752
Epoch (23), Batch(400/1368), loss: 0.278378, imid loss: 0.098131, imid1 loss: 0.089694, cmid loss: 0.090553
Epoch (23), Batch(600/1368), loss: 0.285485, imid loss: 0.098411, imid1 loss: 0.096180, cmid loss: 0.090894
Epoch (23), Batch(800/1368), loss: 0.284997, imid loss: 0.098487, imid1 loss: 0.095824, cmid loss: 0.090685
Epoch (23), Batch(1000/1368), loss: 0.283783, imid loss: 0.097776, imid1 loss: 0.095450, cmid loss: 0.090558
Epoch (23), Batch(1200/1368), loss: 0.284709, imid loss: 0.098149, imid1 loss: 0.095823, cmid loss: 0.090737
Train 23, loss: 0.283210
Linear Accuracy : 0.8950567260940032
Start training epoch: (24/100)
Epoch (24), Batch(0/1368), loss: 0.245382, imid loss: 0.072572, imid1 loss: 0.085188, cmid loss: 0.087622
Epoch (24), Batch(200/1368), loss: 0.278458, imid loss: 0.093940, imid1 loss: 0.096639, cmid loss: 0.087878
Epoch (24), Batch(400/1368), loss: 0.278307, imid loss: 0.095750, imid1 loss: 0.094840, cmid loss: 0.087717
Epoch (24), Batch(600/1368), loss: 0.274303, imid loss: 0.096417, imid1 loss: 0.090732, cmid loss: 0.087154
Epoch (24), Batch(800/1368), loss: 0.276262, imid loss: 0.097949, imid1 loss: 0.091578, cmid loss: 0.086736
Epoch (24), Batch(1000/1368), loss: 0.275673, imid loss: 0.098548, imid1 loss: 0.090610, cmid loss: 0.086514
Epoch (24), Batch(1200/1368), loss: 0.275977, imid loss: 0.098032, imid1 loss: 0.091643, cmid loss: 0.086303
Train 24, loss: 0.276167
Linear Accuracy : 0.8950567260940032
Start training epoch: (25/100)
Epoch (25), Batch(0/1368), loss: 0.343583, imid loss: 0.099973, imid1 loss: 0.154951, cmid loss: 0.088660
Epoch (25), Batch(200/1368), loss: 0.282924, imid loss: 0.097485, imid1 loss: 0.098913, cmid loss: 0.086526
Epoch (25), Batch(400/1368), loss: 0.278832, imid loss: 0.097172, imid1 loss: 0.095699, cmid loss: 0.085962
Epoch (25), Batch(600/1368), loss: 0.273867, imid loss: 0.096167, imid1 loss: 0.092067, cmid loss: 0.085633
Epoch (25), Batch(800/1368), loss: 0.271621, imid loss: 0.094598, imid1 loss: 0.091565, cmid loss: 0.085459
Epoch (25), Batch(1000/1368), loss: 0.273033, imid loss: 0.094885, imid1 loss: 0.092568, cmid loss: 0.085581
Epoch (25), Batch(1200/1368), loss: 0.269981, imid loss: 0.093794, imid1 loss: 0.090780, cmid loss: 0.085406
Train 25, loss: 0.269677
Linear Accuracy : 0.8934359805510534
==> Saving...
Start training epoch: (26/100)
Epoch (26), Batch(0/1368), loss: 0.281551, imid loss: 0.095498, imid1 loss: 0.103466, cmid loss: 0.082587
Epoch (26), Batch(200/1368), loss: 0.273200, imid loss: 0.091420, imid1 loss: 0.098515, cmid loss: 0.083265
Epoch (26), Batch(400/1368), loss: 0.277031, imid loss: 0.095089, imid1 loss: 0.098482, cmid loss: 0.083460
Epoch (26), Batch(600/1368), loss: 0.273231, imid loss: 0.094783, imid1 loss: 0.095136, cmid loss: 0.083312
Epoch (26), Batch(800/1368), loss: 0.267929, imid loss: 0.092619, imid1 loss: 0.092463, cmid loss: 0.082846
Epoch (26), Batch(1000/1368), loss: 0.267959, imid loss: 0.092557, imid1 loss: 0.092897, cmid loss: 0.082505
Epoch (26), Batch(1200/1368), loss: 0.267200, imid loss: 0.092551, imid1 loss: 0.092370, cmid loss: 0.082279
Train 26, loss: 0.267802
Linear Accuracy : 0.8950567260940032
Start training epoch: (27/100)
Epoch (27), Batch(0/1368), loss: 0.213065, imid loss: 0.095021, imid1 loss: 0.038481, cmid loss: 0.079563
Epoch (27), Batch(200/1368), loss: 0.261916, imid loss: 0.087987, imid1 loss: 0.091596, cmid loss: 0.082333
Epoch (27), Batch(400/1368), loss: 0.255242, imid loss: 0.088583, imid1 loss: 0.085602, cmid loss: 0.081057
Epoch (27), Batch(600/1368), loss: 0.258081, imid loss: 0.091602, imid1 loss: 0.085397, cmid loss: 0.081082
Epoch (27), Batch(800/1368), loss: 0.257668, imid loss: 0.092486, imid1 loss: 0.084601, cmid loss: 0.080580
Epoch (27), Batch(1000/1368), loss: 0.256783, imid loss: 0.090451, imid1 loss: 0.085786, cmid loss: 0.080546
Epoch (27), Batch(1200/1368), loss: 0.258964, imid loss: 0.091503, imid1 loss: 0.087291, cmid loss: 0.080171
Train 27, loss: 0.261675
